name,cases,TotalDeaths,TotalRecovered,population
USA,48287925,787984.0,38260784.0,333675410.0
India,34478517,464623.0,33885132.0,1398679859.0
Brazil,21977661,611898.0,21194900.0,214639787.0
UK,9675058,143360.0,7943987.0,68377088.0
Russia,9182538,259084.0,7882836.0,146020667.0
Turkey,8480986,74202.0,7970207.0,85588130.0
France,7330958,118321.0,7028434.0,65472460.0
Iran,6057893,128531.0,5734181.0,85472262.0
Argentina,5310334,116313.0,5175526.0,45766673.0
Germany,5169657,98908.0,4564200.0,84152929.0
Spain,5067712,87775.0,4898138.0,46779726.0
Colombia,5038544,127912.0,4879456.0,51629343.0
Italy,4883242,132965.0,4623192.0,60339333.0
Indonesia,4251945,143698.0,4099857.0,277504516.0
Mexico,3851079,291573.0,3214630.0,130797215.0
Ukraine,3263417,78754.0,2684584.0,43371662.0
Poland,3254875,79624.0,2831903.0,37789502.0
South Africa,2926914,89515.0,2820514.0,60337652.0
Philippines,2820494,46117.0,2750531.0,111587873.0
Malaysia,2563153,29837.0,2466523.0,32936612.0
Netherlands,2355232,18829.0,2032236.0,17187095.0
Peru,2218202,200741.0,0.0,33603776.0
Iraq,2071689,23580.0,2028741.0,41462952.0
Thailand,2044125,20252.0,1933199.0,70041225.0
Czechia,1930214,31709.0,1733498.0,10736347.0
Canada,1756823,29431.0,1703904.0,38197702.0
Romania,1752103,54011.0,1606820.0,19060823.0
Chile,1732576,38016.0,1634049.0,19342098.0
Japan,1725696,18331.0,1705929.0,125942958.0
Bangladesh,1573214,27934.0,1537224.0,166947810.0
Belgium,1543299,26484.0,1259068.0,11659087.0
Israel,1338813,8154.0,1325448.0,9326000.0
Pakistan,1280822,28638.0,1229683.0,226789374.0
Serbia,1222023,11007.0,1126869.0,8688874.0
Sweden,1186387,15075.0,1148509.0,10185977.0
Portugal,1112682,18283.0,1054599.0,10155742.0
Vietnam,1055246,23337.0,874870.0,98544216.0
Austria,996320,11848.0,858323.0,9077161.0
Hungary,976432,32514.0,828535.0,9626552.0
Kazakhstan,960609,12474.0,921199.0,19085784.0
Cuba,959553,8286.0,949718.0,11317091.0
Morocco,948539,14754.0,930494.0,37512625.0
Switzerland,929025,11372.0,846083.0,8741764.0
Jordan,901999,11291.0,857202.0,10342556.0
Greece,853841,17012.0,757342.0,10352893.0
Nepal,818035,11483.0,798916.0,29857452.0
Georgia,795847,11212.0,731996.0,3978617.0
UAE,741148,2144.0,735816.0,10054846.0
Tunisia,715911,25325.0,689705.0,11988831.0
Bulgaria,665578,26840.0,527750.0,6876353.0
Lebanon,655174,8606.0,625313.0,6783325.0
Belarus,632887,4888.0,614098.0,9445041.0
Guatemala,611374,15775.0,593412.0,18371266.0
Slovakia,578208,13687.0,479590.0,5463285.0
Azerbaijan,565965,7524.0,528105.0,10264982.0
Costa Rica,565096,7241.0,534757.0,5158152.0
Sri Lanka,553722,14057.0,525188.0,21536899.0
Croatia,551000,10050.0,503806.0,4070377.0
Saudi Arabia,549339,8820.0,538412.0,35559662.0
Bolivia,526306,19043.0,484911.0,11892101.0
Ecuador,521792,33088.0,443880.0,18011593.0
Myanmar,515559,18975.0,487145.0,54912030.0
Ireland,511045,5609.0,412624.0,5013697.0
Panama,475166,7349.0,465662.0,4408196.0
Paraguay,462109,16343.0,445140.0,7253102.0
Lithuania,448304,6405.0,408722.0,2669921.0
Denmark,434798,2786.0,391721.0,5820295.0
Palestine,427373,4499.0,420069.0,5264377.0
Venezuela,422229,5049.0,408455.0,28324923.0
Kuwait,413068,2463.0,410332.0,4357456.0
S. Korea,406065,3187.0,367578.0,51329967.0
Dominican Republic,398880,4178.0,390169.0,10997644.0
Uruguay,397143,6105.0,389046.0,3490311.0
Slovenia,388010,4975.0,336745.0,2079332.0
Honduras,377293,10373.0,118848.0,10121288.0
Mongolia,375747,1919.0,313256.0,3350905.0
Ethiopia,369437,6647.0,346265.0,118876001.0
Libya,366238,5332.0,322611.0,6999851.0
Moldova,355646,8661.0,336459.0,4021045.0
Egypt,346808,19707.0,289533.0,104988276.0
Armenia,330895,7153.0,298492.0,2970872.0
Oman,304453,4113.0,299872.0,5285046.0
Bahrain,277282,1393.0,275682.0,1782730.0
Bosnia and Herzegovina,266994,12153.0,192218.0,3252695.0
Kenya,254453,5325.0,247791.0,55399185.0
Singapore,244815,619.0,220910.0,5913687.0
Latvia,243340,3875.0,218486.0,1857451.0
Qatar,241527,611.0,239147.0,2807805.0
Norway,235314,995.0,88952.0,5479603.0
Estonia,214496,1707.0,187021.0,1327764.0
Nigeria,213403,2973.0,206245.0,213159114.0
North Macedonia,210447,7367.0,194625.0,2083256.0
Zambia,210020,3666.0,206250.0,19091017.0
Algeria,208380,6005.0,142936.0,44939914.0
Albania,194472,3014.0,183078.0,2873468.0
Botswana,194129,2416.0,190863.0,2416902.0
