연,월,일,시,분,수신지역,내용
2020,3,12,11,41,강남구,[강남구청]코로나19 타 지역 확진자 방문 갤러리아백화점 서관 푸드코트 12일 폐쇄·방역 완료. 8~9일 푸드코트 이용자 중 유증상자는 강남구보건소 검사 바람
2020,4,11,16,7,강남구,[강남구청] 무증상 보균자가 많아 격리 해제자는 반드시 검사받아야 합니다. 미검사자 강남보건소 방문바람! 코로나19 브리핑 보기(gangnam.go.kr)
2020,5,9,18,4,금천구,"[금천구청]4.24 ~ 5.6까지 이태원 인근 클럽 등 업소방문자는 증상유무 관계없이 2주간 외출·접촉자제, 보건소를 방문하여 코로나19 검사 받으시기 바람"
2020,5,10,16,16,용산구,"[용산구청]코로나 28,29번째 확진자 발생. 4.30~5.5 이태원클럽(킹,퀸,트렁크,소호,힘) 방문자는 외출·접촉자제. 가까운 선별진료소 방문 검사 바랍니다."
2020,5,13,13,32,용산구,"[용산구청]4.24~5.6 이태원클럽 등 업소 방문자는 2주간 외출·접촉 자제, 보건소방문 코로나검사 받으시기 바랍니다.(한남동공영주차장 선별진료소 추가 운영)"
2020,5,22,15,14,서초구,"[서초구청] 5월10일, 20일 강남역 악바리주점 방문자는 증상유무 상관없이 코로나19 검사 꼭 받으시기 바랍니다."
2020,5,24,15,1,성동구,[성동구청] 5.12.(화)~5.21.(목) 성수2가3동‘일루오리’(성수일로8길40) 방문자는 증상 관계없이 성동구보건소02)2286-7172 코로나19 검사요망
2020,5,25,10,7,성동구,[성동구청]5.11(월)~5.21(목)성수2가3동 일루오리(성수일로8길40)방문자는 증상관계없이 가까운 선별진료소에서 코로나19 검사바람. c19.sd.go.kr
2020,5,26,12,10,성동구,"[성동구청] 5.17 참나라숯불바베큐(무수막길3), 5.17~5.24 금호7080(금호로86) 방문자는 성동보건소02)2286-7172 코로나19 검사바람"
2020,5,26,15,34,성동구,"[성동구청] 5.17 싱싱오징어바다(금호4가동,장터길22), 이가네곱창(금호2-3가동,장터5길2) 방문자는 성동구보건소02)2286-7172 코로나19 검사바람"
2020,5,26,15,35,성동구,[성동구청] 5.16 엉터리생고기(성수일로8길37) / 5.19 바우네나주곰탕(연무장7길7-1)방문자는 성동구보건소02)2286-7172 코로나19 검사바람
2020,5,29,12,18,성동구,"[성동구청] 5.23.(토)~5.28.(목) 남한산빌딩(금호로86), 태광빌딩(금호로86) 방문자는 성동구보건소 02)2286-7172 코로나19 검사바랍니다."
2020,5,29,13,10,성동구,"[성동구청] 5.29.(금) 40번째 확진/성수1가2동거주,5.16~28명가닭한마리(성수일로8길39) 방문자는 성동구보건소 코로나 검사바람 02)2286-7172"
2020,6,5,17,15,성동구,[성동구청]타구거주 왕십리도선동 직장인(은평37번)확진/5.28~6.4 부성식당(왕십리로28길4) 방문자는 성동구보건소(02-2286-7172) 코로나 검사바람
2020,6,11,9,0,서초구,[서초구청] 6월7일(일) 09:00~16:00 양재2동 삼호궁전사우나 여탕 및 찜질방 방문자는 인근 선별진료소에서 코로나19검사 꼭 받으시기 바랍니다.
2020,6,12,10,40,서초구,[서초구청] 6월7일(일) 07:32~15:52 양재2동 삼호궁전사우나 여탕 및 찜질방 방문자는 인근 선별진료소에서 코로나19검사 꼭 받으시기 바랍니다.
2020,8,4,18,11,서초구,[서초구청] 7.23~24/7.28~31(09시~16시). 하나은행 서초동지점(서초대로 286) 방문자는 코로나19 유증상시 서초구 선별진료소에서 검사바랍니다.
2020,8,16,16,33,중랑구,[중랑구청]성북사랑제일교회 교인 및 교회를 방문한 주민께서는 보건소에서 코로나19 검사를 받으시기 바랍니다.(☎2094-0800)
2020,8,16,19,30,마포구,[마포구청] 마포 66번 확진자 발생 / 교회방문자 및 집회참가자 코로나 검사 정보는 홈페이지 참고바랍니다. blog.naver.com/prmapo77
2020,8,17,16,35,성북구,"[성북구청] 2020.8.9.(일) 13:50~15:30, 바코삼겹살(석관동 245-10) 방문주민께서는 성북구보건소에서 코로나19검사를 받으시기 바랍니다."
2020,8,19,10,39,강북구,[강북구청] '20.8.14.~8.16. 기간 동안 경강바이크 오토바이 수리점(솔샘로 275)방문자는 강북구 선별진료소로 즉시 코로나 검사하시기 바랍니다.
2020,8,20,13,9,강북구,[강북구청]경강바이크 오토바이 수리점(솔샘로 275)'20.8.14.~8.17.(8.17.추가)방문자는 강북구 선별진료소로 즉시 코로나 검사하시기 바랍니다.
2020,8,22,21,19,강동구,"[강동구청]8.15(일)놀숲천호로데오점(11:30~16:30), 8.13(목)오케이목장(성내3동,18:30~20:30)방문자 유증상시코로나검사 받으시기 바랍니다."
2020,8,23,12,48,도봉구,"[도봉구청]8.15(토)~8.20(목)쌍문역 크로커다일아울렛 방문자는 증상 유무관계없이 보건소(2091-4483,4490)로 문의후코로나19검사를 받으시기바랍니다"
2020,8,24,19,44,도봉구,[도봉구청]104번 확진자 역학조사결과 이동동선 및 조치사항과 8.15. 광화문집회 참가자(인근지역 방문자) 코로나19 검사 안내사항을 홈페이지에 공개하였습니다.
2020,8,26,21,24,강동구,[강동구청]8.21.(금)~8.24.(월) 김정래이비인후과(성내3동) 방문자는 8.27.(목) 13~16시까지 강동구보건소 코로나19 검사를 받으시기 바랍니다.
2020,8,27,17,11,강동구,[강동구청]8.25.(화)성내동 김정래 이비인후과를 방문하신 분은 8.28.(금) 9시~10시까지 강동구 보건소를 방문하시어 코로나19 검사를 받으시기 바랍니다.
2020,8,28,10,27,서대문구,"[서대문구청]포방터시장(신우기름집,우리농산물) 8.19~8.25 방문자 중 코로나19 의심증상이 있으신 분은 서대문구보건소 선별진료소에서 검사 받으시기 바랍니다."
2020,8,29,11,23,강남구,[강남구청] 거리두기·마스크 착용이 코로나로부터 내 건강을 지켜줍니다. 주말 방역수칙 준수. 도심집회·사랑제일교회 방문자 꼭 검사바랍니다 gangnam.go.kr
2020,9,1,18,3,성북구,"[성북구청]8.20.(목)14:09~15:06 성북동누룽지백숙(성북동,성북로31길9)방문자는 증상유무에 상관없이 선별진료소에서 코로나19검사를 받으시기 바랍니다."
2020,9,4,16,0,강북구,[강북구청]8.28.24:00~8.29.새벽5시까지 싱싱오징어바다 미아삼거리점(미아동860-23)방문자는 즉시 강북보건소 선별진료소에서 코로나 검사 바랍니다.
2020,9,7,10,37,강동구,[강동구청]천호2동일진빌딩(올림픽로762)을 아래기간 동안 방문하신분 중 유증상자는  강동구보건소 문의 후 코로나19 진단검사 바랍니다(02-3425-6713)
2020,9,29,17,28,도봉구,"[도봉구청] 9. 15(화) 이후 창5동 소재 다나병원 모든 방문자는 반드시 보건소(2091-4483,4490)에서 코로나19 검사를 받으시기 바랍니다."
2020,10,11,17,42,도봉구,"[도봉구청]방학1동소재 의성한방병원 10. 8(목) 16시30분 이후 이용 및 방문자는 증상 유,무 관계없이 보건소를 방문하여 코로나19 검사를 받으시기 바랍니다"
